instance_names,utilizations
h100-80gb,0.9784393620523779
h100-80gb,0.96693519459939
h100-80gb,0.9813739500998974
h100-80gb,0.9627476336582848
h100-80gb,0.9781618602655995
h100-80gb,0.9700458812452483
h100-80gb,0.9786062499457822
h100-80gb,0.96785219648438
h100-80gb,0.962725887127142
h100-80gb,0.9614266775957278
h100-80gb,0.9643738052870289
h100-80gb,0.9779708412330029
h100-80gb,0.9668049991031803
h100-80gb,0.9681805779240441
h100-80gb,0.9599020208189977
h100-80gb,0.9648563845804058
h100-80gb,0.9604856763522932
h100-80gb,0.9667679984634889
h100-80gb,0.9946387763842737
h100-80gb,0.9634910336693657
h100-80gb,0.9996135737252795
h100-80gb,0.9640056007811665
h100-80gb,0.9759756964176531
h100-80gb,0.9838831911106529
h100-80gb,0.9618095784425919
h100-80gb,0.9764045389798587
h100-80gb,0.9805290275164421
h100-80gb,0.9673991422744099
h100-80gb,0.9773872296257493
h100-80gb,0.9790234662669902
h100-80gb,0.9812421447652224
h100-80gb,0.9606721753868869
h100-80gb,0.9627588739885836
h100-80gb,0.9782235540659938
h100-80gb,0.9775891190869007
h100-80gb,0.9665822649105374
h100-80gb,0.9682530212826304
h100-80gb,0.961701357050039
h100-80gb,0.9804709135697965
h100-80gb,0.9865094601682717
