instance_names,utilizations
h100-80gb,0.8256516332842216
h100-80gb,0.7935324973764875
h100-80gb,0.765734448178486
h100-80gb,0.7045011692456656
h100-80gb,0.6573030478199373
h100-80gb,0.5707194421396331
h100-80gb,0.5125055625424825
h100-80gb,0.41369079690099536
h100-80gb,0.31568982484504043
h100-80gb,0.23504002717944392
h100-80gb,0.13617494208748637
h100-80gb,0.08761837560193696
h100-80gb,0.0523639092404597
h100-80gb,0.018776992648654737
h100-80gb,0.012148307099005258
h100-80gb,0.006724881488129042
h100-80gb,0.0030035218031193977
h100-80gb,0.002398457931209042
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.9779968904075971
h100-80gb,0.9844986842722937
h100-80gb,0.9792082793236463
h100-80gb,0.9816223119533908
h100-80gb,0.9996364232098117
h100-80gb,0.977352391666789
h100-80gb,0.978152659429749
h100-80gb,0.9794567516265247
h100-80gb,0.9770541259372854
h100-80gb,0.9921046644578126
h100-80gb,0.9810062888376216
h100-80gb,0.9838018530486285
h100-80gb,0.9789924971688762
h100-80gb,0.9760018015206691
h100-80gb,0.9831834230099316
