instance_names,utilizations
h100-80gb,0.8194555968796683
h100-80gb,0.7880688835434657
h100-80gb,0.7458918464216493
h100-80gb,0.7004004191678264
h100-80gb,0.6392707859539272
h100-80gb,0.566337606035566
h100-80gb,0.4962964464150396
h100-80gb,0.39530126910876967
h100-80gb,0.30121794695677845
h100-80gb,0.2261061702897397
h100-80gb,0.14843701292179132
h100-80gb,0.09025171269825853
h100-80gb,0.05814554266680666
h100-80gb,0.023438208954677183
h100-80gb,0.015983275849701467
h100-80gb,0.004021381429023247
h100-80gb,0.002881126158908244
h100-80gb,0.0009679052693005182
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.0
h100-80gb,0.9732183939885409
h100-80gb,0.9620523909322015
h100-80gb,0.9703875621574359
h100-80gb,0.9842552586240402
h100-80gb,0.9796074958870086
h100-80gb,0.9692739607066827
h100-80gb,0.9980286692113597
h100-80gb,0.9761519164169185
h100-80gb,0.9801407080893776
h100-80gb,0.9670020113415901
h100-80gb,0.9766814673711612
h100-80gb,0.9692205716621133
h100-80gb,0.9654711403840839
h100-80gb,0.9740527112205107
h100-80gb,0.9693464807343232
