request_ids,response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes,failure_times,success_times,request_types
7,0.3478787087937407,0.0,0.05898020827589792,0.03209983339087143,0.006280517578124978,336,9,0.0,0.0,0.0
8,0.5029497176452518,0.0,0.22214419680639708,0.035100690104856835,0.03351478576660155,1793,8,0.0,0.0,0.0
0,1.0017862794452084,0.0,0.0467916819943639,0.03410694990895873,0.0011589050292968722,62,28,0.0,0.0,0.0
11,0.8859409669222329,0.0,0.0658058429353332,0.04556306244371665,0.007588958740234353,406,18,0.0,0.0,0.0
6,1.489950871982396,0.0,0.894226900006835,0.03971493146503739,0.10114250183105478,5411,15,0.0,0.0,0.0
46,0.3336230955065964,0.0,0.04844276173571416,0.047530055628480374,0.0025234222412109375,135,6,0.0,0.0,0.0
75,2.113498945458546,0.0,1.046398925555387,0.13338750248789488,0.7137204876061389,6229,8,0.0,0.0,0.0
128,0.44202023798496004,0.0,0.04862370198134158,0.056199505143374066,0.07534425157406321,143,7,0.0,0.0,0.0
1,5.1302441817702364,0.0,0.991334231713857,0.05912728500080542,0.11089973449707036,5933,70,0.0,0.0,0.0
130,0.7220339928216957,0.0,0.21103485482871065,0.05677768199922056,0.1222469411402205,1698,9,0.0,0.0,0.0
13,4.906430565835147,0.0,0.11962198295151438,0.07978014304806054,0.016991043090820335,909,60,0.0,0.0,0.0
131,0.8069631632768042,0.0,0.18261832745420747,0.06937164842473297,0.34136351937664333,1455,9,0.0,0.0,0.0
118,1.486050134936089,0.0,0.06385566160406553,0.07901080407400131,0.5025603437184438,386,18,0.0,0.0,0.0
105,2.829046876384089,0.0,1.2707503470854036,0.22261378989981218,1.3462162563240359,7435,7,0.0,0.0,0.0
141,1.5817537454291521,0.0,0.5534903852145447,0.0790971815549698,0.49800428489305304,3601,13,0.0,0.0,0.0
2,6.522118334052618,0.0,0.14098753014835097,0.07090145337671408,0.02054252624511721,1099,90,0.0,0.0,0.0
103,3.1682360005010937,0.0,0.144963505171944,0.503878749221525,2.6341115482818713,1133,6,0.0,0.0,0.0
90,3.7557294831805037,0.0,0.1463667904743886,0.07218725385412231,0.28685933876400105,1145,50,0.0,0.0,0.0
24,5.802696827429291,0.0,0.9035283685611475,0.34994060420486744,3.8390817667636883,5461,14,0.0,0.0,0.0
150,1.6063872046791472,0.0,0.6819673875974246,0.11555247713521533,0.6769019985680726,4270,8,0.0,0.0,0.0
133,2.164635125578468,0.0,0.15607284714963043,0.20085622784288376,1.690331571295328,1228,10,0.0,0.0,0.0
152,1.5587010213375514,0.0,0.3878741595231645,0.07317667886339918,0.42873081720539297,2748,16,0.0,0.0,0.0
80,4.065480932265888,0.0,0.13853178086907292,0.11219854718276613,1.5568995249328887,1078,35,0.0,0.0,0.0
180,0.6791350847340647,0.0,0.050998542705201544,0.04831819554068178,0.20407980565277395,248,13,0.0,0.0,0.0
177,0.8560872543794922,0.0,0.24833885578536297,0.04051655990627528,0.11287171997580803,2017,15,0.0,0.0,0.0
200,0.37332537850525327,0.0,0.04572865805130277,0.05459945340899175,0.009362769271278104,15,6,0.0,0.0,0.0
39,5.89497465690065,0.0,0.04975457851651299,0.3247344487991187,4.713038532716463,193,18,0.0,0.0,0.0
140,2.3936581136552375,0.0,0.14870559931179628,0.12471958413019119,1.1127709686757674,1165,18,0.0,0.0,0.0
154,2.2308241379558726,0.0,1.011425403791172,0.1354887482405223,0.9366250368651681,6041,9,0.0,0.0,0.0
190,1.2425810683155136,0.0,0.1753680200582437,0.08893442068810582,0.5720314290176436,1393,12,0.0,0.0,0.0
186,1.3630475704919602,0.0,0.37117662680398666,0.07084792454914098,0.4259504834351846,2662,14,0.0,0.0,0.0
144,3.011737029414939,0.0,1.22926579733317,0.19805235912019656,1.3581030669860494,7212,9,0.0,0.0,0.0
210,0.9398591523960498,0.0,0.06824356959941724,0.12451651182809036,0.6594963812320298,431,7,0.0,0.0,0.0
53,6.156344175109695,0.0,0.11600776152658909,0.1632523355022461,4.413761552622368,876,37,0.0,0.0,0.0
216,0.8732122508674705,0.0,0.06882862399879741,0.08937595854096367,0.2387226905489097,437,9,0.0,0.0,0.0
231,0.4840478729310993,0.0,0.04665597681014333,0.04859909956899511,0.15457278213314485,56,9,0.0,0.0,0.0
222,0.7269652450690858,0.0,0.17653742447694754,0.06880347757401728,0.19685364534534955,1403,8,0.0,0.0,0.0
159,2.833174351357119,0.0,0.2682732274881232,0.23317282944263598,1.857590570917278,2132,11,0.0,0.0,0.0
69,5.833754949262681,0.0,0.14133835147396212,0.07490021839195682,0.7085269388352904,1102,76,0.0,0.0,0.0
183,2.0422334512354814,0.0,0.7487519318173881,0.10779012661817444,0.8339223565197491,4629,12,0.0,0.0,0.0
127,3.818218734149423,0.0,0.1199505485355985,0.14224108406207017,1.5044687566368475,912,26,0.0,0.0,0.0
233,0.641070980064046,0.0,0.11469349919025262,0.08772958014563222,0.17243997212076945,864,6,0.0,0.0,0.0
199,1.773349609933172,0.0,0.25137930727399294,0.1170746386660907,0.9560465983572275,2043,13,0.0,0.0,0.0
219,1.2423675568035328,0.0,0.1135982805766389,0.09406410635224116,0.1732401901423577,854,12,0.0,0.0,0.0
243,0.7062923602394973,0.0,0.06171046213967113,0.058598354372711464,0.2906930500842435,364,11,0.0,0.0,0.0
236,1.1172930425040892,0.0,0.1909210988270047,0.08421563124337132,0.07735986930680738,1526,11,0.0,0.0,0.0
26,8.070392853876445,0.0,0.6470742313848206,0.08340807441001825,1.6969760735212942,4083,89,0.0,0.0,0.0
43,7.582327697164659,0.0,0.06590335200189656,0.1833274230527503,4.579471311549713,407,41,0.0,0.0,0.0
258,0.6111486847185681,0.0,0.1167744145561187,0.08239571169374156,0.3174622866462862,883,6,0.0,0.0,0.0
77,6.4645690689469335,0.0,0.0721439322619517,0.06948288192048893,0.5600035226373725,471,92,0.0,0.0,0.0
262,0.713867689138926,0.0,0.22506770785315666,0.0698285687551099,0.276661315426189,1818,7,0.0,0.0,0.0
79,6.524646339951305,0.0,1.2709363764564903,0.10945229090614199,1.5783234167775921,7436,48,0.0,0.0,0.0
12,9.132483203339131,0.0,0.13560826982231333,0.09180484626037569,0.0196826934814453,1053,98,0.0,0.0,0.0
264,0.888169132964931,0.0,0.176069662709466,0.04188820413267441,0.145857849135556,1399,17,0.0,0.0,0.0
185,2.9757465729683554,0.0,0.16028270305696424,0.09082141515843198,0.6930715560751155,1264,31,0.0,0.0,0.0
93,6.492823221819468,0.0,0.17080734282529875,0.09162341853614739,0.6300565595849221,1354,69,0.0,0.0,0.0
92,6.5751908229602645,0.0,0.1311217783944585,0.08708201411575414,1.3140854216273694,1014,74,0.0,0.0,0.0
266,1.1311087341814225,0.0,0.10155087582688793,0.0735398470253239,0.3217574539792327,744,14,0.0,0.0,0.0
276,0.9926324680408367,0.0,0.1267409039400036,0.05411822275630207,0.2642707903268562,974,16,0.0,0.0,0.0
204,3.102156609262611,0.0,0.11808867689245517,0.09325212288656737,0.8628467202816577,895,32,0.0,0.0,0.0
120,6.042864610758752,0.0,0.14531432649755516,0.07020893195549044,0.34291301990071243,1136,84,0.0,0.0,0.0
287,0.780816146677946,0.0,0.08610829337493442,0.06315525939118287,0.05813614136445544,603,11,0.0,0.0,0.0
284,0.9278108723054199,0.0,0.38204943880717224,0.04961467577256797,0.19208993677657382,2718,11,0.0,0.0,0.0
45,8.726604367597078,0.0,0.1661297251504834,0.13169960988379376,4.420335210121357,1314,65,0.0,0.0,0.0
244,2.411292091045664,0.0,0.11786963316973154,0.05096494350835405,0.17010559002825332,893,45,0.0,0.0,0.0
72,7.746698068356645,0.0,0.13326946098490566,0.09887569619963298,3.7942091989359894,1033,77,0.0,0.0,0.0
184,4.048568616147338,0.0,0.048352291612900444,0.07547577970819694,0.9581087798555119,131,53,0.0,0.0,0.0
25,9.564055407170008,0.0,0.64746254609922,0.09798453693484382,2.3049183108188895,4085,91,0.0,0.0,0.0
60,8.294931727148208,0.0,0.05004860641565756,0.09369185364468807,2.265566262556718,206,88,0.0,0.0,0.0
269,1.8952415784718841,0.0,0.062100498405925464,0.05913358322793415,0.7720844172618229,368,31,0.0,0.0,0.0
278,1.551487715583061,0.0,0.1513952294748151,0.23334874768470767,1.2232291633295258,1188,6,0.0,0.0,0.0
281,1.441226402089752,0.0,0.3845734844507689,0.17610881960649719,0.879789594860263,2731,6,0.0,0.0,0.0
162,5.157412495667873,0.0,0.14098753014835097,0.0687181502125962,0.34566961246482464,1099,73,0.0,0.0,0.0
178,4.532799337822974,0.0,0.049483168148071854,0.05977754892899869,0.13081423209785026,181,75,0.0,0.0,0.0
235,2.981868308979748,0.0,0.0678535333331638,0.06475588390325743,0.4367928395375129,427,45,0.0,0.0,0.0
259,2.270629074085207,0.0,0.3781662916631774,0.15770523186850247,1.5031136805233078,2698,12,0.0,0.0,0.0
34,9.60610727211975,0.0,0.14472962428820324,0.10397118294320382,5.1470512332869145,1131,91,0.0,0.0,0.0
297,1.1100384049155885,0.0,0.11107927776532733,0.08324659392918843,0.6098987456270297,831,12,0.0,0.0,0.0
36,9.600867162057916,0.0,0.048103498775162734,0.11940954579103442,4.811081314363445,120,80,0.0,0.0,0.0
245,3.002941799205833,0.0,0.052057064549898335,0.05901769469311869,0.47456788826328555,265,50,0.0,0.0,0.0
113,7.277305925400917,0.0,0.049980753823547275,0.0722732517157737,0.717162065181514,203,100,0.0,0.0,0.0
27,10.07786915400418,0.0,0.13280169921742413,0.10468492057670269,5.347850557172729,1029,95,0.0,0.0,0.0
59,8.957595204482335,0.0,0.144963505171944,0.09276454420326727,4.215414801696365,1133,95,0.0,0.0,0.0
20,10.37916884728299,0.0,0.04977719604721642,0.09837515858319784,0.003626251220703147,194,105,0.0,0.0,0.0
82,8.374883753899343,0.0,0.12465998857413751,0.07710489500303931,0.9310472632209832,955,107,0.0,0.0,0.0
254,2.8681336100767663,0.0,0.1311217783944585,0.07397329274817048,0.26169090838264175,1014,37,0.0,0.0,0.0
157,5.926420750788124,0.0,0.14554820738129592,0.06721944817914917,0.47310428772743407,1138,86,0.0,0.0,0.0
161,5.842759128372906,0.0,0.049483168148071854,0.06658937885315902,0.45011881974388235,181,87,0.0,0.0,0.0
114,7.543440327098587,0.0,0.06561082480220648,0.08040676884189656,2.276175996235049,404,93,0.0,0.0,0.0
293,1.795695844826776,0.0,0.4802930615502419,0.04110633697739169,0.1477123229882764,3224,32,0.0,0.0,0.0
139,6.5654303110541585,0.0,0.16881935531350223,0.10317114444742995,0.1053211612663798,1337,62,0.0,0.0,0.0
172,5.554826255208121,0.0,0.13818095954346177,0.06086118309735572,0.39186160048038143,1075,89,0.0,0.0,0.0
320,0.6589096590693266,0.0,0.11841724247653929,0.04157633973790672,0.04502856507599695,898,13,0.0,0.0,0.0
35,10.238104292238553,0.0,0.1386487213109433,0.08937571301705849,3.058446216311732,1079,113,0.0,0.0,0.0
321,0.7589258119677247,0.0,0.12257907320827144,0.06363467387594532,0.3176715968906372,936,10,0.0,0.0,0.0
197,4.950807766153191,0.0,0.6453268151700229,0.06426090971616669,0.8727785895270044,4074,67,0.0,0.0,0.0
304,1.612133793413074,0.0,0.06629338826815001,0.04294001125402566,0.1302785249842735,411,36,0.0,0.0,0.0
335,0.6234871171130045,0.0,0.06892613306536077,0.039611498860545984,0.02382503349915588,438,14,0.0,0.0,0.0
272,3.068463636340322,0.0,0.04762853063039074,0.11188278169296043,1.4278616584620423,99,27,0.0,0.0,0.0
202,5.172795849769007,0.0,0.14098753014835097,0.051344982853272,0.04560889766330689,1099,98,0.0,0.0,0.0
221,4.561616107331892,0.0,0.14098753014835097,0.05391010459979928,0.20954592874788425,1099,82,0.0,0.0,0.0
302,2.0421427089021265,0.0,0.06512327946938967,0.04942548573581842,0.13686878883329534,399,40,0.0,0.0,0.0
107,8.579755740464487,0.0,0.46495463033146267,0.07310631630750472,2.527499962267748,3145,111,0.0,0.0,0.0
86,9.30109679027258,0.0,0.050749749867463834,0.07226833625316496,0.4473807111790986,237,128,0.0,0.0,0.0
153,6.939790179133533,0.0,0.17010570017407645,0.06386494791471185,0.6479264561559397,1348,106,0.0,0.0,0.0
344,0.9187260806199742,0.0,0.5647515119321298,0.05899576144797406,0.07082780573458791,3659,6,0.0,0.0,0.0
224,4.858175897004889,0.0,0.5633924104317316,0.08764864258312566,1.2191783377545953,3652,49,0.0,0.0,0.0
47,10.852371383630683,0.0,0.12389333554460791,0.12054469716950646,0.08588337017582504,948,89,0.0,0.0,0.0
95,9.50286323918123,0.0,0.1336202823105168,0.10527239277382824,1.730184526609111,1036,89,0.0,0.0,0.0
189,6.037260975166567,0.0,1.1215547914742316,0.06827369699572688,0.14180763005270336,6633,72,0.0,0.0,0.0
319,1.8307745971673146,0.0,0.049347462963851285,0.06362239765012369,0.4359682614200615,175,28,0.0,0.0,0.0
191,6.08535397626986,0.0,0.14753619489309244,0.057648716324046285,0.5962567130839149,1155,103,0.0,0.0,0.0
334,1.4901995906681957,0.0,0.36748763701719156,0.05346247398338115,0.20214353787853412,2643,21,0.0,0.0,0.0
88,9.90576825393485,0.0,0.050975925174498116,0.10949769254178168,0.6233703324934701,247,90,0.0,0.0,0.0
360,1.1347214716108294,0.0,0.13210747514671084,0.08355116637200988,0.04710113062539634,1023,12,0.0,0.0,0.0
279,3.819051935011938,0.0,0.049211757779630716,0.0739184348476923,0.021103329925853842,169,51,0.0,0.0,0.0
101,9.709673966759535,0.0,0.049483168148071854,0.07263301352339446,1.2037266174573045,181,133,0.0,0.0,0.0
378,0.7499446794984497,0.0,0.13572521026418372,0.0614219469234266,0.29566435718447615,1054,10,0.0,0.0,0.0
217,5.676914775646996,0.0,0.14133835147396212,0.07796586512919766,0.4783948575153074,1102,71,0.0,0.0,0.0
246,5.006076090265834,0.0,0.04914390518752043,0.051102393660601174,0.4287769550602718,166,97,0.0,0.0,0.0
203,6.231395939628716,0.0,0.8153504466662653,0.05761750524428139,0.28830999609384467,4987,94,0.0,0.0,0.0
362,1.2831892543928554,0.0,0.27759278063371084,0.08379970614659538,0.26235527979567763,2180,12,0.0,0.0,0.0
396,0.4424271327287954,0.0,0.06678093360096682,0.05366374273254694,0.057185164503758656,416,7,0.0,0.0,0.0
356,1.6225839292421576,0.0,0.5519371263569468,0.06297922369913005,0.25638129158225276,3593,17,0.0,0.0,0.0
353,1.7827443860263923,0.0,0.14414492207885132,0.06554397855790164,0.08152421721977099,1126,25,0.0,0.0,0.0
238,5.563218302592001,0.0,0.36457527665919454,0.07025193278287577,0.1057319493114246,2628,74,0.0,0.0,0.0
15,12.837145066148603,0.0,0.1294789504740379,0.09076904368338974,0.01867332458496096,999,140,0.0,0.0,0.0
391,0.8148304607962533,0.0,0.16227069056876076,0.043503984681832836,0.05101360958425971,1281,15,0.0,0.0,0.0
