instance_names,utilizations
h100-80gb,0.9844078863375878
h100-80gb,0.9865191890456294
h100-80gb,0.980968437110322
h100-80gb,0.9781129286333645
h100-80gb,0.9742308381778652
h100-80gb,0.9847188526913354
h100-80gb,0.9776778302926901
h100-80gb,0.9874863364786703
h100-80gb,0.977468930886205
h100-80gb,0.9816877333572446
h100-80gb,0.987510679339336
h100-80gb,0.9743504449601526
h100-80gb,0.9908133225334955
h100-80gb,0.9761582623881716
h100-80gb,0.9767284633089024
h100-80gb,0.987090767422505
h100-80gb,0.9779864765796836
h100-80gb,0.9867948976097741
h100-80gb,0.9879363181123503
h100-80gb,0.9847193415968077
h100-80gb,0.9977192603443547
h100-80gb,0.9906284807443553
h100-80gb,0.9807535141636546
h100-80gb,0.9834172401629773
h100-80gb,0.9838216671345746
h100-80gb,0.978741549823155
h100-80gb,0.985803125216026
h100-80gb,0.9890508310042386
h100-80gb,0.9796709317307675
h100-80gb,0.9762009126304553
h100-80gb,0.999850290502564
h100-80gb,0.9786353320928884
h100-80gb,0.9808605053274086
h100-80gb,0.9868615361111721
h100-80gb,0.9951843443348649
h100-80gb,0.9812154764508657
h100-80gb,0.9870721822304236
h100-80gb,0.9804913116605029
h100-80gb,0.9764627919602594
h100-80gb,0.9783052867280975
