instance_names,utilizations
h100-80gb,0.9704553962136723
h100-80gb,0.9966484842161605
h100-80gb,0.9669754100989515
h100-80gb,0.9722529954812025
h100-80gb,0.9759137091906964
h100-80gb,0.9693133476744722
h100-80gb,0.9703408762076641
h100-80gb,0.9781366930596416
h100-80gb,0.9726318012902251
h100-80gb,0.9952253755468761
h100-80gb,0.9701963904985196
h100-80gb,0.9710185678434217
h100-80gb,0.9764281340138532
h100-80gb,0.9736006836614766
h100-80gb,0.9853501993104931
h100-80gb,0.9747084505914518
h100-80gb,0.9766873487980774
h100-80gb,0.9762881009327322
h100-80gb,0.9781699716660258
h100-80gb,0.9997267559560683
h100-80gb,0.9772201253301324
h100-80gb,0.987595569002521
h100-80gb,0.9741019449276578
h100-80gb,0.9768016025377013
h100-80gb,0.996820841397592
h100-80gb,0.9716055938189398
h100-80gb,0.9697412308648781
h100-80gb,0.9861701159799238
h100-80gb,0.9786812405998931
h100-80gb,0.9753512957760206
h100-80gb,0.9685518206028951
h100-80gb,0.9720896969970368
h100-80gb,0.980356507054927
h100-80gb,0.9884322921859953
h100-80gb,0.9747244792929136
h100-80gb,0.9704307030717343
h100-80gb,0.9722749549560576
h100-80gb,0.9782032533000544
h100-80gb,0.9828656867046575
h100-80gb,0.9698301254621398
